"Tess is about to take a history test. Her teacher announces: ""I'm going to give you a hint. One of the questions you'll be asked is, 'When did the Roman Empire fall?' You now have five minutes to review your materials before the test begins."" Tess knows from her studying that the Roman Empire fell in 476. However, it has been a while since she reviewed, so she has some doubts about whether she got the dates right. She has her textbook in from of her. Should Tess check the date?"
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"No, there's no point in checking since she already knows the answer."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
"Yes, she should check the date to make sure."
